timestamp;buyer;seller;symbol;currency;price;quantity
0;;SUBMISSION;AMETHYSTS;SEASHELLS;10002;1
0;;;AMETHYSTS;SEASHELLS;10004;1
0;;;STARFRUIT;SEASHELLS;5003;13
0;;;STARFRUIT;SEASHELLS;5003;1
1100;;;AMETHYSTS;SEASHELLS;9996;2
1200;SUBMISSION;;AMETHYSTS;SEASHELLS;9998;1
1300;;SUBMISSION;AMETHYSTS;SEASHELLS;10002;1
1700;;;AMETHYSTS;SEASHELLS;10002;1
1700;;;STARFRUIT;SEASHELLS;5002;8
1800;;SUBMISSION;AMETHYSTS;SEASHELLS;10002;1
1900;;;STARFRUIT;SEASHELLS;5002;1
2000;SUBMISSION;;AMETHYSTS;SEASHELLS;9998;1
2400;;;STARFRUIT;SEASHELLS;4997;1
2900;;;AMETHYSTS;SEASHELLS;9996;1
2900;;;AMETHYSTS;SEASHELLS;9996;11
3000;;;AMETHYSTS;SEASHELLS;10005;1
3000;;;STARFRUIT;SEASHELLS;5003;1
3100;;;AMETHYSTS;SEASHELLS;9996;2
3100;;;STARFRUIT;SEASHELLS;4996;2
3200;;;AMETHYSTS;SEASHELLS;9996;1
3200;;;AMETHYSTS;SEASHELLS;9996;1
3200;;;STARFRUIT;SEASHELLS;4996;2
3600;SUBMISSION;;AMETHYSTS;SEASHELLS;9998;4
3700;;SUBMISSION;AMETHYSTS;SEASHELLS;10002;1
3800;;;AMETHYSTS;SEASHELLS;9996;1
3800;;;STARFRUIT;SEASHELLS;4997;14
3800;;;STARFRUIT;SEASHELLS;4997;1
4200;;;AMETHYSTS;SEASHELLS;9996;2
4300;SUBMISSION;;AMETHYSTS;SEASHELLS;9998;1
4300;SUBMISSION;;STARFRUIT;SEASHELLS;5000;5
4300;;;AMETHYSTS;SEASHELLS;9995;2
4300;;;STARFRUIT;SEASHELLS;5003;1
4300;;;STARFRUIT;SEASHELLS;4998;2
4500;;;STARFRUIT;SEASHELLS;4997;1
4700;SUBMISSION;;STARFRUIT;SEASHELLS;4998;7
4800;;;AMETHYSTS;SEASHELLS;10004;2
4800;;;STARFRUIT;SEASHELLS;5004;2
5300;;SUBMISSION;STARFRUIT;SEASHELLS;5002;1
5600;;SUBMISSION;STARFRUIT;SEASHELLS;5002;2
5700;;;STARFRUIT;SEASHELLS;4999;1
6100;;;STARFRUIT;SEASHELLS;4999;1
6500;SUBMISSION;;AMETHYSTS;SEASHELLS;9998;1
6600;;;AMETHYSTS;SEASHELLS;10004;2
6700;;;AMETHYSTS;SEASHELLS;10002;3
6900;;;AMETHYSTS;SEASHELLS;10002;1
6900;;;STARFRUIT;SEASHELLS;5003;1
7000;;SUBMISSION;STARFRUIT;SEASHELLS;5002;4
7000;;;AMETHYSTS;SEASHELLS;10005;2
7000;;;STARFRUIT;SEASHELLS;5004;2
7300;;SUBMISSION;AMETHYSTS;SEASHELLS;10002;1
7300;;;AMETHYSTS;SEASHELLS;10004;2
7300;;;STARFRUIT;SEASHELLS;5004;2
7400;;;STARFRUIT;SEASHELLS;4998;1
7700;;;STARFRUIT;SEASHELLS;4997;1
8100;;;AMETHYSTS;SEASHELLS;9996;1
8100;;;AMETHYSTS;SEASHELLS;9996;1
